# k[h/Mpc]   R1   R2 
# 
8.1838e-03 7.9470e+01 -1.8011e+01
8.2596e-03 8.1241e+01 -1.8391e+01
8.3361e-03 8.3047e+01 -1.8778e+01
8.4132e-03 8.4888e+01 -1.9172e+01
8.4911e-03 8.6766e+01 -1.9573e+01
8.5697e-03 8.8681e+01 -1.9981e+01
8.6491e-03 9.0633e+01 -2.0397e+01
8.7291e-03 9.2623e+01 -2.0819e+01
8.8099e-03 9.4652e+01 -2.1249e+01
8.8915e-03 9.6719e+01 -2.1686e+01
8.9738e-03 9.8826e+01 -2.2131e+01
9.0569e-03 1.0097e+02 -2.2583e+01
9.1407e-03 1.0316e+02 -2.3043e+01
9.2253e-03 1.0539e+02 -2.3511e+01
9.3107e-03 1.0766e+02 -2.3986e+01
9.3969e-03 1.0998e+02 -2.4470e+01
9.4839e-03 1.1233e+02 -2.4961e+01
9.5717e-03 1.1473e+02 -2.5460e+01
9.6603e-03 1.1718e+02 -2.5967e+01
9.7498e-03 1.1967e+02 -2.6483e+01
9.8400e-03 1.2220e+02 -2.7007e+01
9.9311e-03 1.2478e+02 -2.7539e+01
1.0023e-02 1.2741e+02 -2.8079e+01
1.0116e-02 1.3008e+02 -2.8628e+01
1.0210e-02 1.3280e+02 -2.9185e+01
1.0304e-02 1.3557e+02 -2.9751e+01
1.0399e-02 1.3839e+02 -3.0325e+01
1.0496e-02 1.4126e+02 -3.0908e+01
1.0593e-02 1.4418e+02 -3.1500e+01
1.0691e-02 1.4715e+02 -3.2101e+01
1.0790e-02 1.5016e+02 -3.2710e+01
1.0890e-02 1.5323e+02 -3.3328e+01
1.0991e-02 1.5636e+02 -3.3955e+01
1.1092e-02 1.5953e+02 -3.4591e+01
1.1195e-02 1.6276e+02 -3.5236e+01
1.1299e-02 1.6604e+02 -3.5890e+01
1.1403e-02 1.6938e+02 -3.6552e+01
1.1509e-02 1.7276e+02 -3.7224e+01
1.1615e-02 1.7621e+02 -3.7905e+01
1.1723e-02 1.7971e+02 -3.8595e+01
1.1831e-02 1.8326e+02 -3.9294e+01
1.1941e-02 1.8687e+02 -4.0002e+01
1.2051e-02 1.9054e+02 -4.0719e+01
1.2163e-02 1.9427e+02 -4.1445e+01
1.2276e-02 1.9805e+02 -4.2180e+01
1.2389e-02 2.0189e+02 -4.2925e+01
1.2504e-02 2.0579e+02 -4.3678e+01
1.2620e-02 2.0975e+02 -4.4440e+01
1.2737e-02 2.1376e+02 -4.5212e+01
1.2854e-02 2.1784e+02 -4.5992e+01
1.2973e-02 2.2197e+02 -4.6781e+01
1.3094e-02 2.2617e+02 -4.7579e+01
1.3215e-02 2.3042e+02 -4.8386e+01
1.3337e-02 2.3474e+02 -4.9202e+01
1.3461e-02 2.3911e+02 -5.0027e+01
1.3585e-02 2.4355e+02 -5.0860e+01
1.3711e-02 2.4804e+02 -5.1702e+01
1.3838e-02 2.5260e+02 -5.2552e+01
1.3966e-02 2.5721e+02 -5.3411e+01
1.4095e-02 2.6189e+02 -5.4277e+01
1.4226e-02 2.6663e+02 -5.5153e+01
1.4357e-02 2.7143e+02 -5.6036e+01
1.4490e-02 2.7629e+02 -5.6927e+01
1.4625e-02 2.8121e+02 -5.7826e+01
1.4760e-02 2.8619e+02 -5.8733e+01
1.4897e-02 2.9123e+02 -5.9648e+01
1.5034e-02 2.9633e+02 -6.0570e+01
1.5174e-02 3.0149e+02 -6.1499e+01
1.5314e-02 3.0671e+02 -6.2435e+01
1.5456e-02 3.1199e+02 -6.3379e+01
