# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
4.8792e-04 2.3536e-04 -5.4655e-05 9.0756e-05 9.0353e-05 2.1171e-01 4.2271e-01
4.9243e-04 2.4404e-04 -5.6633e-05 9.4125e-05 9.3703e-05 2.1564e-01 4.3055e-01
4.9699e-04 2.5303e-04 -5.8682e-05 9.7620e-05 9.7176e-05 2.1965e-01 4.3854e-01
5.0159e-04 2.6236e-04 -6.0804e-05 1.0124e-04 1.0078e-04 2.2374e-01 4.4668e-01
5.0624e-04 2.7203e-04 -6.3002e-05 1.0500e-04 1.0451e-04 2.2790e-01 4.5498e-01
5.1092e-04 2.8205e-04 -6.5279e-05 1.0890e-04 1.0838e-04 2.3213e-01 4.6342e-01
5.1565e-04 2.9244e-04 -6.7638e-05 1.1294e-04 1.1240e-04 2.3645e-01 4.7202e-01
5.2043e-04 3.0321e-04 -7.0080e-05 1.1713e-04 1.1656e-04 2.4085e-01 4.8078e-01
5.2524e-04 3.1437e-04 -7.2610e-05 1.2148e-04 1.2088e-04 2.4532e-01 4.8970e-01
5.3011e-04 3.2595e-04 -7.5231e-05 1.2598e-04 1.2536e-04 2.4989e-01 4.9879e-01
5.3501e-04 3.3794e-04 -7.7945e-05 1.3066e-04 1.3000e-04 2.5453e-01 5.0805e-01
5.3997e-04 3.5038e-04 -8.0756e-05 1.3550e-04 1.3481e-04 2.5926e-01 5.1748e-01
5.4496e-04 3.6328e-04 -8.3668e-05 1.4053e-04 1.3980e-04 2.6408e-01 5.2708e-01
5.5001e-04 3.7664e-04 -8.6683e-05 1.4574e-04 1.4498e-04 2.6899e-01 5.3686e-01
5.5510e-04 3.9050e-04 -8.9806e-05 1.5114e-04 1.5035e-04 2.7400e-01 5.4682e-01
5.6024e-04 4.0486e-04 -9.3040e-05 1.5675e-04 1.5591e-04 2.7909e-01 5.5696e-01
5.6543e-04 4.1975e-04 -9.6389e-05 1.6256e-04 1.6168e-04 2.8428e-01 5.6730e-01
5.7066e-04 4.3518e-04 -9.9857e-05 1.6858e-04 1.6766e-04 2.8956e-01 5.7782e-01
5.7594e-04 4.5117e-04 -1.0345e-04 1.7483e-04 1.7386e-04 2.9495e-01 5.8854e-01
5.8128e-04 4.6776e-04 -1.0717e-04 1.8131e-04 1.8029e-04 3.0043e-01 5.9946e-01
5.8666e-04 4.8494e-04 -1.1102e-04 1.8803e-04 1.8696e-04 3.0602e-01 6.1058e-01
5.9209e-04 5.0276e-04 -1.1501e-04 1.9500e-04 1.9388e-04 3.1170e-01 6.2190e-01
5.9757e-04 5.2123e-04 -1.1914e-04 2.0223e-04 2.0104e-04 3.1750e-01 6.3344e-01
6.0310e-04 5.4037e-04 -1.2342e-04 2.0972e-04 2.0848e-04 3.2340e-01 6.4518e-01
6.0868e-04 5.6021e-04 -1.2785e-04 2.1749e-04 2.1618e-04 3.2941e-01 6.5715e-01
6.1432e-04 5.8078e-04 -1.3243e-04 2.2554e-04 2.2417e-04 3.3554e-01 6.6933e-01
6.2001e-04 6.0209e-04 -1.3718e-04 2.3389e-04 2.3246e-04 3.4178e-01 6.8175e-01
6.2575e-04 6.2419e-04 -1.4210e-04 2.4256e-04 2.4105e-04 3.4813e-01 6.9439e-01
6.3154e-04 6.4709e-04 -1.4719e-04 2.5154e-04 2.4995e-04 3.5460e-01 7.0726e-01
6.3739e-04 6.7083e-04 -1.5246e-04 2.6085e-04 2.5918e-04 3.6119e-01 7.2037e-01
6.4329e-04 6.9543e-04 -1.5792e-04 2.7051e-04 2.6876e-04 3.6791e-01 7.3373e-01
6.4924e-04 7.2093e-04 -1.6357e-04 2.8052e-04 2.7868e-04 3.7475e-01 7.4733e-01
6.5525e-04 7.4736e-04 -1.6942e-04 2.9090e-04 2.8897e-04 3.8171e-01 7.6118e-01
6.6132e-04 7.7475e-04 -1.7547e-04 3.0167e-04 2.9964e-04 3.8881e-01 7.7529e-01
6.6744e-04 8.0314e-04 -1.8174e-04 3.1283e-04 3.1070e-04 3.9604e-01 7.8966e-01
6.7362e-04 8.3257e-04 -1.8824e-04 3.2440e-04 3.2217e-04 4.0340e-01 8.0430e-01
6.7985e-04 8.6306e-04 -1.9496e-04 3.3641e-04 3.3405e-04 4.1090e-01 8.1920e-01
6.8615e-04 8.9467e-04 -2.0191e-04 3.4885e-04 3.4638e-04 4.1853e-01 8.3438e-01
6.9250e-04 9.2743e-04 -2.0912e-04 3.6175e-04 3.5916e-04 4.2631e-01 8.4984e-01
6.9891e-04 9.6138e-04 -2.1657e-04 3.7513e-04 3.7240e-04 4.3424e-01 8.6559e-01
7.0538e-04 9.9656e-04 -2.2429e-04 3.8900e-04 3.8614e-04 4.4231e-01 8.8163e-01
7.1191e-04 1.0330e-03 -2.3228e-04 4.0339e-04 4.0038e-04 4.5053e-01 8.9796e-01
7.1850e-04 1.0708e-03 -2.4055e-04 4.1830e-04 4.1514e-04 4.5890e-01 9.1459e-01
7.2515e-04 1.1100e-03 -2.4911e-04 4.3376e-04 4.3044e-04 4.6743e-01 9.3153e-01
7.3187e-04 1.1506e-03 -2.5797e-04 4.4979e-04 4.4630e-04 4.7612e-01 9.4879e-01
7.3864e-04 1.1926e-03 -2.6714e-04 4.6641e-04 4.6275e-04 4.8497e-01 9.6636e-01
7.4548e-04 1.2362e-03 -2.7663e-04 4.8365e-04 4.7980e-04 4.9398e-01 9.8425e-01
7.5238e-04 1.2814e-03 -2.8645e-04 5.0152e-04 4.9747e-04 5.0316e-01 1.0025e+00
7.5935e-04 1.3282e-03 -2.9662e-04 5.2004e-04 5.1579e-04 5.1251e-01 1.0210e+00
7.6638e-04 1.3767e-03 -3.0715e-04 5.3925e-04 5.3479e-04 5.2204e-01 1.0399e+00
7.7347e-04 1.4270e-03 -3.1804e-04 5.5917e-04 5.5448e-04 5.3174e-01 1.0592e+00
7.8063e-04 1.4791e-03 -3.2931e-04 5.7981e-04 5.7489e-04 5.4162e-01 1.0788e+00
7.8786e-04 1.5331e-03 -3.4097e-04 6.0122e-04 5.9605e-04 5.5169e-01 1.0988e+00
7.9515e-04 1.5890e-03 -3.5305e-04 6.2341e-04 6.1798e-04 5.6194e-01 1.1191e+00
8.0251e-04 1.6470e-03 -3.6554e-04 6.4643e-04 6.4072e-04 5.7238e-01 1.1398e+00
8.0994e-04 1.7070e-03 -3.7847e-04 6.7028e-04 6.6429e-04 5.8302e-01 1.1609e+00
8.1744e-04 1.7693e-03 -3.9184e-04 6.9502e-04 6.8872e-04 5.9385e-01 1.1824e+00
8.2501e-04 1.8338e-03 -4.0568e-04 7.2067e-04 7.1404e-04 6.0489e-01 1.2043e+00
8.3265e-04 1.9006e-03 -4.2001e-04 7.4725e-04 7.4030e-04 6.1613e-01 1.2266e+00
8.4035e-04 1.9698e-03 -4.3483e-04 7.7482e-04 7.6751e-04 6.2758e-01 1.2492e+00
8.4813e-04 2.0416e-03 -4.5016e-04 8.0339e-04 7.9572e-04 6.3924e-01 1.2723e+00
8.5599e-04 2.1159e-03 -4.6603e-04 8.3303e-04 8.2496e-04 6.5111e-01 1.2959e+00
8.6391e-04 2.1930e-03 -4.8245e-04 8.6374e-04 8.5526e-04 6.6321e-01 1.3198e+00
8.7191e-04 2.2728e-03 -4.9943e-04 8.9559e-04 8.8668e-04 6.7553e-01 1.3443e+00
8.7998e-04 2.3555e-03 -5.1701e-04 9.2859e-04 9.1924e-04 6.8809e-01 1.3691e+00
8.8813e-04 2.4412e-03 -5.3519e-04 9.6282e-04 9.5299e-04 7.0087e-01 1.3944e+00
8.9635e-04 2.5300e-03 -5.5399e-04 9.9831e-04 9.8798e-04 7.1389e-01 1.4202e+00
9.0465e-04 2.6219e-03 -5.7345e-04 1.0351e-03 1.0242e-03 7.2715e-01 1.4464e+00
9.1302e-04 2.7172e-03 -5.9358e-04 1.0732e-03 1.0618e-03 7.4066e-01 1.4732e+00
